Name,Genre,Description,Year,Runtime
Peeping Tom,"Drama, Horror, Thriller            ","A young man murders women, using a movie camera to film their dying expressions of terror.",1960,101 min
Psycho,"Horror, Mystery, Thriller            ","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",1960,109 min
Saturday Night and Sunday Morning,"Drama, Romance            ","A rebellious, hard-living factory worker juggles relationships with two women, one of whom is married to another man but pregnant with his child.",1960,89 min
Tirez sur le pianiste,"Crime, Drama, Thriller            ","A pianist helps his brother escape from two gangsters, who retaliate by abducting their kid brother.",1960,81 min
Spartacus,"Adventure, Biography, Drama            ","The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",1960,197 min
The Apartment,"Comedy, Drama, Romance            ","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",1960,125 min
The Running Jumping & Standing Still Film,"Short, Comedy            ",There is no plot as such. This is a slapstick comedy. It shows a lots of gags.,1959,11 min
Jungfrukällan,Drama            ,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",1960,89 min
Village of the Damned,"Horror, Sci-Fi            ","In the English village of Midwich, the blonde-haired, glowing-eyed children of uncertain paternity prove to have frightening powers.",1960,77 min
Zazie dans le métro,"Comedy, Fantasy            ","With her mother away for the weekend, a brash and precocious ten-year-old country girl sets out to explore Paris during a Métro strike under her uncle's not-so-watchful eye. But can a little girl cause so much chaos in the city centre?",1960,93 min
The Pit and the Pendulum,"Drama, Horror, Mystery            ","In the sixteenth century, Francis Barnard travels to Spain to clarify the strange circumstances of his sister's death after she had married the son of a cruel Spanish Inquisitor.",1961,80 min
The Curse of the Werewolf,Horror            ,"In eighteenth-century Spain, an adopted boy becomes a werewolf and terrorizes the inhabitants of his town.",1961,93 min
The Hustler,"Drama, Sport            ",An up-and-coming pool player plays a long-time champion in a single high-stakes match.,1961,134 min
The Innocents,Horror            ,A young governess for two children becomes convinced that the house and grounds are haunted.,1961,100 min
West Side Story,"Crime, Drama, Musical            ","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",1961,153 min
Yôjinbô,"Action, Drama, Thriller            ",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1961,110 min
Carnival of Souls,"Horror, Mystery            ","After a traumatic accident, a woman becomes drawn to a mysterious abandoned carnival.",1962,78 min
Jules et Jim,"Drama, Romance            ",Decades of a love triangle concerning two friends and an impulsive woman.,1962,105 min
Knife in the Water,"Drama, Thriller            ","A couple pick up a hitchhiker on the way to their yacht. The husband invites the young man to come along for their day's sailing. As the voyage progresses, the antagonism between the two men grows. A violent confrontation is inevitable.",1962,94 min
El ángel exterminador,"Drama, Fantasy            ",The guests at an upper-class dinner party find themselves unable to leave.,1962,95 min
The Man Who Shot Liberty Valance,"Drama, Western            ",A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,1962,123 min
The Manchurian Candidate,"Drama, Thriller            ",An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,1962,126 min
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller            ",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,1962,134 min
8½,Drama            ,A harried movie director retreats into his memories and fantasies.,1963,138 min
Billy Liar,"Comedy, Drama, Romance            ","A lazy, irresponsible young clerk (Sir Tom Courtenay) in provincial Northern England lives in his own fantasy world and makes emotionally immature decisions as he alienates friends and family.",1963,98 min
Bitter Harvest,Drama            ,A pretty young woman will do anything to escape her deadly dull existence in the backlots of Wales. But when she reaches the bright lights of London is the price too high?,1963,96 min
I tre volti della paura,Horror            ,"Boris Karloff hosts a trio of horror stories concerning a stalked call girl, a vampire-like monster who preys on his family, and a nurse who is haunted by her ring's rightful owner.",1963,92 min
Charade,"Comedy, Mystery, Romance            ",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,1963,113 min
From Russia with Love,"Action, Adventure, Thriller            ",James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,1963,115 min
Jason and the Argonauts,"Action, Adventure, Family            ",The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.,1963,104 min
Shock Corridor,"Drama, Mystery            ","Bent on winning a Pulitzer Prize, a journalist commits himself to a mental institution to solve a strange and unclear murder.",1963,101 min
The Birds,"Drama, Horror, Mystery            ",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,1963,119 min
The Great Escape,"Adventure, Drama, History            ",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,1963,172 min
The Haunting,Horror            ,"Hill House has stood for about 90 years and appears haunted: its inhabitants have always met strange, tragic ends. Now Dr. John Markway has assembled a team of people who he thinks will prove whether or not the house is haunted.",1963,112 min
The Servant,Drama            ,"Upper-class Tony hires servant Hugo Barrett, who turns out to have a hidden agenda.",1963,116 min
X,"Horror, Sci-Fi, Thriller            ","A doctor uses special eye drops to give himself x-ray vision, but the new power has disastrous consequences.",1963,79 min
Per un pugno di dollari,"Action, Drama, Western            ","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",1964,99 min
A Hard Day's Night,"Comedy, Musical            ","Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",1964,87 min
A Shot in the Dark,"Comedy, Mystery            ","A clumsy, inept detective is hired to investigate the murder of a chauffeur at a country home.",1964,102 min
